Centre_ID,Centre_Title,Registration_Provider,Person_in_Charge,County,Maximum_Occupancy,Registration_Date,Registration_Conditions,Company_Directors,Chief_Inspector_Note,URL
3452,"O'Dwyer Cheshire Home","The Cheshire Foundation in Ireland","Colin McIlrath",Mayo,7,18-09-2023,"Condition 1 Subject to any prohibitions or restrictions contained in any other condition(s),  the designated centre shall be operated at all times in accordance with the Statement of Purpose within the footprint of the designated centre on the floor plan dated 15/05/2023. The registered provider shall only provide for the specific care and support needs,  and services,  within the facilities as set out the Statement of Purpose,  as agreed with the Chief Inspector at the time of registration. Any changes to the specific care and support needs and services provided must be agreed in advance with the Chief Inspector.Condition 2Only persons aged 18 years or older shall be accommodated at the designated centre at any time.Condition 3The maximum number of persons that may be accommodated at the designated centre is 7.","Eileen Gormley,  Margaret Woods,  John Walsh,  Suzanne Crowe,  Ann-Marie Garbutt,  Fionnuala Murphy,  Carol O'Rourke,  Kieran Timmins,  Michael Haynes,  John Connellan,  Michael Bourke",,https://www.hiqa.ie/areas-we-work/find-a-centre/odwyer-cheshire-home
7954,"Oak Hill","St John of God Community Services CLG","Alison Finnegan",Louth,4,17-02-2021,"Condition 1 Subject to any prohibitions or restrictions contained in any other condition(s),  the designated centre shall be operated at all times in accordance with the Statement of Purpose within the footprint of the designated centre on the floor plan dated 10/11/2020. The registered provider shall only provide for the specific care and support needs,  and services,  within the facilities as set out the Statement of Purpose,  as agreed with the Chief Inspector at the time of registration. Any changes to the specific care and support needs and services provided must be agreed in advance with the Chief Inspector.Condition 2Only persons aged 18 years or older shall be accommodated at the designated centre at any time.Condition 3The maximum number of persons that may be accommodated at the designated centre is 4.","Shane Hill,  Kieran Carolan,  Gerard O'Sullivan,  Elma Clancy,  Theresa Ghalaieny,  Peter O'Halloran,  Eimer O'Rourke,  James Hussey,  Charles Watchorn,  Gerard Boyle",,https://www.hiqa.ie/areas-we-work/find-a-centre/oak-hill
4466,"Oak Services","Brothers of Charity Services Ireland CLG","Geraldine McNamara",Roscommon,5,15-10-2022,"Condition 1 Subject to any prohibitions or restrictions contained in any other condition(s),  the designated centre shall be operated at all times in accordance with the Statement of Purpose within the footprint of the designated centre on the floor plan dated 08/06/2022. The registered provider shall only provide for the specific care and support needs,  and services,  within the facilities as set out the Statement of Purpose,  as agreed with the Chief Inspector at the time of registration. Any changes to the specific care and support needs and services provided must be agreed in advance with the Chief Inspector.Condition 2Only persons aged 18 years or older shall be accommodated at the designated centre at any time.Condition 3The maximum number of persons that may be accommodated at the designated centre is: 5.","Siobhan Allen,  Geraldine Larkin,  Noel Corcoran,  Anne Geraghty,  Evin Cusack,  Joseph Delahunty,  John O'Shea,  John O'Shea,  John Gerard Barry,  Augustine (Alfred) Thomas Hassett,  John Hayes,  Patrick McGinley",,https://www.hiqa.ie/areas-we-work/find-a-centre/oak-services
8480,"Oak View Residential Service","Western Care Association","Hazel Roche",Mayo,1,08-06-2023,"Condition 1 Subject to any prohibitions or restrictions contained in any other condition(s),  the designated centre shall be operated at all times in accordance with the Statement of Purpose within the footprint of the designated centre on the floor plan dated 31/01/2023. The registered provider shall only provide for the specific care and support needs,  and services,  within the facilities as set out the Statement of Purpose,  as agreed with the Chief Inspector at the time of registration. Any changes to the specific care and support needs and services provided must be agreed in advance with the Chief Inspector.Condition 2Only persons aged 18 years or older shall be accommodated at the designated centre at any time.Condition 3The maximum number of persons that may be accommodated at the designated centre is: 1.Condition 4Notwithstanding the requirements placed on the registered provider to comply with the Health Act 2007 (care and support of residents in designated centres for persons (children and adults) with disabilities ) regulations 2013,  the registered provider shall take all necessary action to comply with Regulation 28 to the satisfaction of the office of the Chief Inspector no later than 28/02/2024.","Martin Greaney,  Mark Moore,  Seamus McCormack,  Fiona Campbell,  Angela Campbell,  Iarla Duffy,  Michael Prendergast,  Cathy Fleming,  Suzanne Ryan,  Hugh Farrell,  Alan McCarron,  Frances Burke",,https://www.hiqa.ie/areas-we-work/find-a-centre/oak-view-residential-service
3761,Oaklands,"Health Service Executive","Sally Hibbs",Longford,9,30-01-2021,"Condition 1 Subject to any prohibitions or restrictions contained in any other condition(s),  the designated centre shall be operated at all times in accordance with the Statement of Purpose within the footprint of the designated centre on the floor plan dated 07/04/2022. The registered provider shall only provide for the specific care and support needs,  and services,  within the facilities as set out the Statement of Purpose,  as agreed with the Chief Inspector at the time of registration. Any changes to the specific care and support needs and services provided must be agreed in advance with the Chief Inspector.Condition 2Only persons aged 18 years or older shall be accommodated at the designated centre at any time.Condition 3The maximum number of persons that may be accommodated at the designated centre is: 9.",,,https://www.hiqa.ie/areas-we-work/find-a-centre/oaklands
8350,"Oaklands House","Embrace Community Services Ltd","Paul Boland",Meath,4,20-10-2022,"Condition 1 Subject to any prohibitions or restrictions contained in any other condition(s),  the designated centre shall be operated at all times in accordance with the Statement of Purpose within the footprint of the designated centre on the floor plan dated 12/10/2022 . The registered provider shall only provide for the specific care and support needs,  and services,  within the facilities as set out the Statement of Purpose,  as agreed with the Chief Inspector at the time of registration. Any changes to the specific care and support needs and services provided must be agreed in advance with the Chief Inspector.Condition 2Only persons aged 18 years or younger shall be accommodated at the designated centre at any time,  with the exception of young people completing their final year of second level education.Condition 3The maximum number of persons that may be accommodated at the designated centre is: 4.","James Magrane,  Heather Laffin,  David Guilmartin",,https://www.hiqa.ie/areas-we-work/find-a-centre/oaklands-house
2668,"Oaklands Supported Accommodation","The Rehab Group","Stephanie Cleare",Longford,4,11-05-2021,"Condition 1 Subject to any prohibitions or restrictions contained in any other condition(s),  the designated centre shall be operated at all times in accordance with the Statement of Purpose within the footprint of the designated centre on the floor plan dated 11/12/2018. The registered provider shall only provide for the specific care and support needs,  and services,  within the facilities as set out the Statement of Purpose,  as agreed with the Chief Inspector at the time of registration. Any changes to the specific care and support needs and services provided must be agreed in advance with the Chief Inspector.Condition 2Only persons aged 18 years or older shall be accommodated at the designated centre at any time.Condition 3The maximum number of persons that may be accommodated at the designated centre is: 4.","David Dalton,  Thomas Hunter McGowan,  Niall Wallace,  Ailis Quinlan,  Philip Burke,  Martin Kelly,  Kathleen Vickers,  Peter Rossiter,  Sean Sheridan,  Conor Whelan,  Aidan Walsh,  Michelle McGarry,  Rosemary Smyth,  Gillian McMahon,  Criona Cullen,  Fiona Hartley",,https://www.hiqa.ie/areas-we-work/find-a-centre/oaklands-supported-accommodation
1853,Oakridge,"St. Aidan's Day Care Centre Company Limited by Guarantee","Bridget Stafford Kavanagh",Wexford,4,27-06-2022,"Condition 1 Subject to any prohibitions or restrictions contained in any other condition(s),  the designated centre shall be operated at all times in accordance with the Statement of Purpose within the footprint of the designated centre on the floor plan dated 04/01/2022. The registered provider shall only provide for the specific care and support needs,  and services,  within the facilities as set out the Statement of Purpose,  as agreed with the Chief Inspector at the time of registration. Any changes to the specific care and support needs and services provided must be agreed in advance with the Chief Inspector.Condition 2Only persons aged 18 years or older shall be accommodated at the designated centre at any time.Condition 3The maximum number of persons that may be accommodated at the designated centre is: 4.","Jean Carty,  Hugh Kane,  Aidan Kenny,  Sarah Whyte,  Darragh O'Doherty,  Fintan O'Donoghue,  Mary Kenny,  Pat O'Shea,  Patrick Asple,  Diarmuid Devereux",,https://www.hiqa.ie/areas-we-work/find-a-centre/oakridge
2463,Oakvale,"Health Service Executive","Karen McGrath",Cork,28,21-09-2021,"Condition 1 Subject to any prohibitions or restrictions contained in any other condition(s),  the designated centre shall be operated at all times in accordance with the Statement of Purpose within the footprint of the designated centre on the floor plan dated 16/03/2021. The registered provider shall only provide for the specific care and support needs,  and services,  within the facilities as set out the Statement of Purpose,  as agreed with the Chief Inspector at the time of registration. Any changes to the specific care and support needs and services provided must be agreed in advance with the Chief Inspector.Condition 2Only persons aged 18 years or older shall be accommodated at the designated centre at any time.Condition 3The maximum number of persons that may be accommodated at the designated centre is: 28.",,,https://www.hiqa.ie/areas-we-work/find-a-centre/oakvale
8606,Oakvale,"Health Service Executive","Lorna McMenamin",Cavan,4,05-09-2023,"Condition 1 Subject to any prohibitions or restrictions contained in any other condition(s),  the designated centre shall be operated at all times in accordance with the Statement of Purpose within the footprint of the designated centre on the floor plan received on 04/07/2023. The registered provider shall only provide for the specific care and support needs,  and services,  within the facilities as set out the Statement of Purpose,  as agreed with the Chief Inspector at the time of registration. Any changes to the specific care and support needs and services provided must be agreed in advance with the Chief Inspector.Condition 2Only persons aged 18 years or older shall be accommodated at the designated centre at any time.Condition 3The maximum number of persons that may be accommodated at the designated centre is: 4.",,,https://www.hiqa.ie/areas-we-work/find-a-centre/oakvale-0
6699,"Oatfield House","Dundas Unlimited Company","Lijo James",Meath,6,14-08-2022,"Condition 1 Subject to any prohibitions or restrictions contained in any other condition(s),  the designated centre shall be operated at all times in accordance with the Statement of Purpose within the footprint of the designated centre on the floor plan dated 10/02/2022. The registered provider shall only provide for the specific care and support needs,  and services,  within the facilities as set out the Statement of Purpose,  as agreed with the Chief Inspector at the time of registration. Any changes to the specific care and support needs and services provided must be agreed in advance with the Chief Inspector.Condition 2Only persons aged 18 years or older shall be accommodated at the designated centre at any time.Condition 3The maximum number of persons that may be accommodated at the designated centre is: 6.","John O'Halloran,  Neil Marvell,  Helen Murphy,  Laverne McGuinness",,https://www.hiqa.ie/areas-we-work/find-a-centre/oatfield-house
8257,"Obelisk DC","St John of God Community Services CLG","Jacqueline Kehoe",Dublin,4,28-07-2022,"Condition 1 Subject to any prohibitions or restrictions contained in any other condition(s),  the designated centre shall be operated at all times in accordance with the Statement of Purpose within the footprint of the designated centre on the floor plan dated 13/04/2022. The registered provider shall only provide for the specific care and support needs,  and services,  within the facilities as set out the Statement of Purpose,  as agreed with the Chief Inspector at the time of registration. Any changes to the specific care and support needs and services provided must be agreed in advance with the Chief Inspector.Condition 2Only persons aged 18 years or older shall be accommodated at the designated centre at any time.Condition 3The maximum number of persons that may be accommodated at the designated centre is: 4.","Shane Hill,  Kieran Carolan,  Gerard O'Sullivan,  Elma Clancy,  Theresa Ghalaieny,  Peter O'Halloran,  Eimer O'Rourke,  James Hussey,  Charles Watchorn,  Gerard Boyle",,https://www.hiqa.ie/areas-we-work/find-a-centre/obelisk-dc
7912,"Ocean House","Sunbeam House Services CLG","Jason Doyle",Wicklow,2,19-11-2023,"Condition 1 Subject to any prohibitions or restrictions contained in any other condition(s),  the designated centre shall be operated at all times in accordance with the Statement of Purpose within the footprint of the designated centre on the floor plan received on 14/11/2023. The registered provider shall only provide for the specific care and support needs,  and services,  within the facilities as set out the Statement of Purpose,  as agreed with the Chief Inspector at the time of registration. Any changes to the specific care and support needs and services provided must be agreed in advance with the Chief Inspector.Condition 2Only persons aged 18 years or older shall be accommodated at the designated centre at any time.Condition 3The maximum number of persons that may be accommodated at the designated centre is: 2","John Downey,  Teresa Mc Nally,  Karen Kelly,  Miles Williams,  Niall Glynn,  Paul Brennan,  David Clarke,  Martin Wolohan,  Bernadette Ivers",,https://www.hiqa.ie/areas-we-work/find-a-centre/ocean-house
1495,"Ocean Wave Services","Ability West","Margaret Foy",Galway,5,15-01-2022,"Condition 1 Subject to any prohibitions or restrictions contained in any other condition(s),  the designated centre shall be operated at all times in accordance with the Statement of Purpose within the footprint of the designated centre on the floor plan dated 24/06/2021. The registered provider shall only provide for the specific care and support needs,  and services,  within the facilities as set out the Statement of Purpose,  as agreed with the Chief Inspector at the time of registration. Any changes to the specific care and support needs and services provided must be agreed in advance with the Chief Inspector.Condition 2Only persons aged 18 years or older shall be accommodated at the designated centre at any time.Condition 3The maximum number of persons that may be accommodated at the designated centre is 5.","Shane Lynch,  Anna Lawless,  Ray Kelly,  Jack King,  Michael Finnerty,  Breda Dolan,  Kevin Newell",,https://www.hiqa.ie/areas-we-work/find-a-centre/ocean-wave-services
8502,OCS-OHANA,"Avista CLG","Grainne Lambe",Meath,3,05-06-2023,"Condition 1 Subject to any prohibitions or restrictions contained in any other condition(s),  the designated centre shall be operated at all times in accordance with the Statement of Purpose within the footprint of the designated centre on the floor plan dated 31/01/2023. The registered provider shall only provide for the specific care and support needs,  and services,  within the facilities as set out the Statement of Purpose,  as agreed with the Chief Inspector at the time of registration. Any changes to the specific care and support needs and services provided must be agreed in advance with the Chief Inspector.Condition 2Only persons aged 18 years or younger shall be accommodated at the designated centre at any time,  with the exception of young people completing their final year of second level education.Condition 3The maximum number of persons that may be accommodated at the designated centre is: 3.","Kieran Murphy,  Sile Parsons,  Daniel O'Hare,  Noel Kidney,  Sally Byrne,  John O'Quigley",,https://www.hiqa.ie/areas-we-work/find-a-centre/ocs-ohana
4030,OCS-SM,"Avista CLG","Grainne Lambe",Dublin,4,03-05-2023,"Condition 1 Subject to any prohibitions or restrictions contained in any other condition(s),  the designated centre shall be operated at all times in accordance with the Statement of Purpose within the footprint of the designated centre on the floor plan dated 18.10.2022 . The registered provider shall only provide for the specific care and support needs,  and services,  within the facilities as set out the Statement of Purpose,  as agreed with the Chief Inspector at the time of registration. Any changes to the specific care and support needs and services provided must be agreed in advance with the Chief Inspector.Condition 2Only persons aged 18 years or younger shall be accommodated at the designated centre at any time,  with the exception of young people completing their final year of second level education.Condition 3The maximum number of persons that may be accommodated at the designated centre is: 4.","Kieran Murphy,  Sile Parsons,  Daniel O'Hare,  Noel Kidney,  Sally Byrne,  John O'Quigley",,https://www.hiqa.ie/areas-we-work/find-a-centre/ocs-sm
8215,"Offaly Respite Family Support Services (Adult) Area A4","Muiríosa Foundation","David Slevin",Offaly,4,25-03-2022,"Condition 1 Subject to any prohibitions or restrictions contained in any other condition(s),  the designated centre shall be operated at all times in accordance with the Statement of Purpose within the footprint of the designated centre on the floor plan dated 06/01/2022. The registered provider shall only provide for the specific care and support needs,  and services,  within the facilities as set out the Statement of Purpose,  as agreed with the Chief Inspector at the time of registration. Any changes to the specific care and support needs and services provided must be agreed in advance with the Chief Inspector.Condition 2Only persons aged 18 years or older shall be accommodated at the designated centre at any time.Condition 3The maximum number of persons that may be accommodated at the designated centre is: 4.","Thomas Breen,  Brendan Broderick,  Annmarie Loughran,  Ed Farrell,  Kate Quinlan,  Mary Culliton,  Leslie Stevenson,  Jim O'Brien",,https://www.hiqa.ie/areas-we-work/find-a-centre/offaly-respite-family-support-services-adult-area-a4
5453,"Offaly Respite/ Family Support Services (Adults) Area S","Muiríosa Foundation","Christina Hegarty",Offaly,2,24-07-2023,"Condition 1 Subject to any prohibitions or restrictions contained in any other condition(s),  the designated centre shall be operated at all times in accordance with the Statement of Purpose within the footprint of the designated centre on the floor plan dated 01/02/2023. The registered provider shall only provide for the specific care and support needs,  and services,  within the facilities as set out the Statement of Purpose,  as agreed with the Chief Inspector at the time of registration. Any changes to the specific care and support needs and services provided must be agreed in advance with the Chief Inspector.Condition 2Only persons aged 18 years or older shall be accommodated at the designated centre at any time.Condition 3The maximum number of persons that may be accommodated at the designated centre is: 2.","Thomas Breen,  Brendan Broderick,  Annmarie Loughran,  Ed Farrell,  Kate Quinlan,  Mary Culliton,  Leslie Stevenson,  Jim O'Brien",,https://www.hiqa.ie/areas-we-work/find-a-centre/offaly-respite-family-support-services-adults-area-s
7781,Ohana,"Saint Patrick's Centre (Kilkenny)/trading as Aurora-Enriching Lives,  Enriching Communities","Jennifer Brennan",Kilkenny,2,05-05-2023,"Condition 1 Subject to any prohibitions or restrictions contained in any other condition(s),  the designated centre shall be operated at all times in accordance with the Statement of Purpose within the footprint of the designated centre on the floor plan dated 16/12/2022. The registered provider shall only provide for the specific care and support needs,  and services,  within the facilities as set out the Statement of Purpose,  as agreed with the Chief Inspector at the time of registration. Any changes to the specific care and support needs and services provided must be agreed in advance with the Chief Inspector.Condition 2Only persons aged 18 years or older shall be accommodated at the designated centre at any time.Condition 3The maximum number of persons that may be accommodated at the designated centre is: 2","Gerri (Geraldine) Wilson,  Rory O'Mahony,  Leslie Moynan,  Alex Clark,  Heidi Good,  John O'Dwyer,  Michael Hogan,  Kieron Kennedy,  Bill (William) Murphy,  Marian McDonald",,https://www.hiqa.ie/areas-we-work/find-a-centre/ohana
2878,"Oldcourt DC","St John of God Community Services CLG","Anne Scarry",Dublin,8,10-07-2023,"Condition 1 Subject to any prohibitions or restrictions contained in any other condition(s),  the designated centre shall be operated at all times in accordance with the Statement of Purpose within the footprint of the designated centre on the floor plan dated 21/12/2022. The registered provider shall only provide for the specific care and support needs,  and services,  within the facilities as set out the Statement of Purpose,  as agreed with the Chief Inspector at the time of registration. Any changes to the specific care and support needs and services provided must be agreed in advance with the Chief Inspector.Condition 2Only persons aged 18 years or older shall be accommodated at the designated centre at any time.Condition 3The maximum number of persons that may be accommodated at the designated centre is: 8.","Shane Hill,  Kieran Carolan,  Gerard O'Sullivan,  Elma Clancy,  Theresa Ghalaieny,  Peter O'Halloran,  Eimer O'Rourke,  James Hussey,  Charles Watchorn,  Gerard Boyle",,https://www.hiqa.ie/areas-we-work/find-a-centre/oldcourt-dc
1510,"Oldfield Services","Ability West","Celine O'Connor",Galway,5,15-12-2021,"Condition 1 Subject to any prohibitions or restrictions contained in any other condition(s),  the designated centre shall be operated at all times in accordance with the Statement of Purpose within the footprint of the designated centre on the floor plan dated 08/05/2018. The registered provider shall only provide for the specific care and support needs,  and services,  within the facilities as set out the Statement of Purpose,  as agreed with the Chief Inspector at the time of registration. Any changes to the specific care and support needs and services provided must be agreed in advance with the Chief Inspector.Condition 2Only persons aged 18 years or older shall be accommodated at the designated centre at any time.Condition 3The maximum number of persons that may be accommodated at the designated centre is: 5.","Shane Lynch,  Anna Lawless,  Ray Kelly,  Jack King,  Michael Finnerty,  Breda Dolan,  Kevin Newell",,https://www.hiqa.ie/areas-we-work/find-a-centre/oldfield-services
5023,"Oran Services","Brothers of Charity Services Ireland CLG","Leila Crowe",Galway,8,20-06-2022,"Condition 1 Subject to any prohibitions or restrictions contained in any other condition(s),  the designated centre shall be operated at all times in accordance with the Statement of Purpose within the footprint of the designated centre on the floor plan dated 15/12/21. The registered provider shall only provide for the specific care and support needs,  and services,  within the facilities as set out the Statement of Purpose,  as agreed with the Chief Inspector at the time of registration. Any changes to the specific care and support needs and services provided must be agreed in advance with the Chief Inspector.Condition 2Only persons aged 18 years or older shall be accommodated at the designated centre at any time.Condition 3The maximum number of persons that may be accommodated at the designated centre is: 8","Siobhan Allen,  Geraldine Larkin,  Noel Corcoran,  Anne Geraghty,  Evin Cusack,  Joseph Delahunty,  John O'Shea,  John O'Shea,  John Gerard Barry,  Augustine (Alfred) Thomas Hassett,  John Hayes,  Patrick McGinley",,https://www.hiqa.ie/areas-we-work/find-a-centre/oran-services
1756,"Orchard Grove Residential Service","Western Care Association",,Mayo,3,14-10-2021,"Condition 1 Subject to any prohibitions or restrictions contained in any other condition(s),  the designated centre shall be operated at all times in accordance with the Statement of Purpose within the footprint of the designated centre on the floor plan dated 10/07/2015. The registered provider shall only provide for the specific care and support needs,  and services,  within the facilities as set out the Statement of Purpose,  as agreed with the Chief Inspector at the time of registration. Any changes to the specific care and support needs and services provided must be agreed in advance with the Chief Inspector.Condition 2Only persons aged 18 years or older shall be accommodated at the designated centre at any time.Condition 3The maximum number of persons that may be accommodated at the designated centre is 3.","Martin Greaney,  Mark Moore,  Seamus McCormack,  Fiona Campbell,  Angela Campbell,  Iarla Duffy,  Michael Prendergast,  Cathy Fleming,  Suzanne Ryan,  Hugh Farrell,  Alan McCarron,  Frances Burke",,https://www.hiqa.ie/areas-we-work/find-a-centre/orchard-grove-residential-service
5513,"Orchard Vale Apartments","Redwood Extended Care Facility Unlimited Company",,Meath,5,02-05-2021,"Condition 1 Subject to any prohibitions or restrictions contained in any other condition(s),  the designated centre shall be operated at all times in accordance with the Statement of Purpose within the footprint of the designated centre on the floor plan dated 06/09/2022. The registered provider shall only provide for the specific care and support needs,  and services,  within the facilities as set out the Statement of Purpose,  as agreed with the Chief Inspector at the time of registration. Any changes to the specific care and support needs and services provided must be agreed in advance with the Chief Inspector.Condition 2Only persons aged 18 years or older shall be accommodated at the designated centre at any time.Condition 3The maximum number of persons that may be accommodated at the designated centre is: 5.","John O'Halloran,  Neil Marvell,  Helen Murphy,  Laverne McGuinness",,https://www.hiqa.ie/areas-we-work/find-a-centre/orchard-vale-apartments
5052,"Orchid Lane","Sunbeam House Services CLG","Marie Byrne",Wicklow,4,14-06-2022,"Condition 1 Subject to any prohibitions or restrictions contained in any other condition(s),  the designated centre shall be operated at all times in accordance with the Statement of Purpose within the footprint of the designated centre on the floor plan dated 02/09/2022. The registered provider shall only provide for the specific care and support needs,  and services,  within the facilities as set out the Statement of Purpose,  as agreed with the Chief Inspector at the time of registration. Any changes to the specific care and support needs and services provided must be agreed in advance with the Chief Inspector.Condition 2Only persons aged 18 years or older shall be accommodated at the designated centre at any time.Condition 3The maximum number of persons that may be accommodated at the designated centre is: 4.","John Downey,  Teresa Mc Nally,  Karen Kelly,  Miles Williams,  Niall Glynn,  Paul Brennan,  David Clarke,  Martin Wolohan,  Bernadette Ivers",,https://www.hiqa.ie/areas-we-work/find-a-centre/orchid-lane
5697,"Ormonde Square Residential Service","Carriglea Cáirde Services",,Waterford,2,05-02-2023,"Condition 1 Subject to any prohibitions or restrictions contained in any other condition(s),  the designated centre shall be operated at all times in accordance with the Statement of Purpose within the footprint of the designated centre on the floor plan dated 03/08/2022. The registered provider shall only provide for the specific care and support needs,  and services,  within the facilities as set out the Statement of Purpose,  as agreed with the Chief Inspector at the time of registration. Any changes to the specific care and support needs and services provided must be agreed in advance with the Chief Inspector.Condition 2Only persons aged 18 years or older shall be accommodated at the designated centre at any time.Condition 3The maximum number of persons that may be accommodated at the designated centre is: 2.","Michael Culloo,  Denis Herlihy,  Pat Phelan,  Isobel Brennock,  Barry O'Brien,  Mary Fitzgerald,  Nan Ferrari,  Thomas Horgan",,https://www.hiqa.ie/areas-we-work/find-a-centre/ormonde-square-residential-service
2987,Oropesa,"St John of God Community Services CLG","Julie-Ann Browne",Louth,8,22-08-2022,"Condition 1 Subject to any prohibitions or restrictions contained in any other condition(s),  the designated centre shall be operated at all times in accordance with the Statement of Purpose within the footprint of the designated centre on the floor plan dated 15.02.2022. The registered provider shall only provide for the specific care and support needs,  and services,  within the facilities as set out the Statement of Purpose,  as agreed with the Chief Inspector at the time of registration. Any changes to the specific care and support needs and services provided must be agreed in advance with the Chief Inspector.Condition 2Only persons aged 18 years or older shall be accommodated at the designated centre at any time.Condition 3The maximum number of persons that may be accommodated at the designated centre is: 8.","Shane Hill,  Kieran Carolan,  Gerard O'Sullivan,  Elma Clancy,  Theresa Ghalaieny,  Peter O'Halloran,  Eimer O'Rourke,  James Hussey,  Charles Watchorn,  Gerard Boyle",,https://www.hiqa.ie/areas-we-work/find-a-centre/oropesa
3652,"Osprey Lodge","St John of God Community Services CLG","Niamh O'Halloran",Louth,4,22-08-2022,"Condition 1 Subject to any prohibitions or restrictions contained in any other condition(s),  the designated centre shall be operated at all times in accordance with the Statement of Purpose within the footprint of the designated centre on the floor plan dated 24/02/2022. The registered provider shall only provide for the specific care and support needs,  and services,  within the facilities as set out the Statement of Purpose,  as agreed with the Chief Inspector at the time of registration. Any changes to the specific care and support needs and services provided must be agreed in advance with the Chief Inspector.Condition 2Only persons aged 18 years or older shall be accommodated at the designated centre at any time.Condition 3The maximum number of persons that may be accommodated at the designated centre is: 4","Shane Hill,  Kieran Carolan,  Gerard O'Sullivan,  Elma Clancy,  Theresa Ghalaieny,  Peter O'Halloran,  Eimer O'Rourke,  James Hussey,  Charles Watchorn,  Gerard Boyle",,https://www.hiqa.ie/areas-we-work/find-a-centre/osprey-lodge
4431,"Oxview Services","Health Service Executive","Tara Doran",Sligo,13,13-02-2021,"Condition 1 Subject to any prohibitions or restrictions contained in any other condition(s),  the designated centre shall be operated at all times in accordance with the Statement of Purpose within the footprint of the designated centre on the floor plan dated 25/08/2020. The registered provider shall only provide for the specific care and support needs,  and services,  within the facilities as set out the Statement of Purpose,  as agreed with the Chief Inspector at the time of registration. Any changes to the specific care and support needs and services provided must be agreed in advance with the Chief Inspector.Condition 2Only persons aged 18 years or older shall be accommodated at the designated centre at any time.Condition 3The maximum number of persons that may be accommodated at the designated centre is 13.",,,https://www.hiqa.ie/areas-we-work/find-a-centre/oxview-services
4062,"Palace Fields Services","Ability West","Noelle Quinn",Galway,5,29-10-2021,"Condition 1 Subject to any prohibitions or restrictions contained in any other condition(s),  the designated centre shall be operated at all times in accordance with the Statement of Purpose within the footprint of the designated centre on the floor plan dated 23/03/2018. The registered provider shall only provide for the specific care and support needs,  and services,  within the facilities as set out the Statement of Purpose,  as agreed with the Chief Inspector at the time of registration. Any changes to the specific care and support needs and services provided must be agreed in advance with the Chief Inspector.Condition 2Only persons aged 18 years or older shall be accommodated at the designated centre at any time.Condition 3The maximum number of persons that may be accommodated at the designated centre is 5.","Shane Lynch,  Anna Lawless,  Ray Kelly,  Jack King,  Michael Finnerty,  Breda Dolan,  Kevin Newell",,https://www.hiqa.ie/areas-we-work/find-a-centre/palace-fields-services
8530,"Park Avenue","S O S Kilkenny Company Limited by Guarantee","Christopher Clancy",Kilkenny,4,14-08-2023,"Condition 1 Subject to any prohibitions or restrictions contained in any other condition(s),  the designated centre shall be operated at all times in accordance with the Statement of Purpose within the footprint of the designated centre on the floor plan dated 18/04/2023. The registered provider shall only provide for the specific care and support needs,  and services,  within the facilities as set out the Statement of Purpose,  as agreed with the Chief Inspector at the time of registration. Any changes to the specific care and support needs and services provided must be agreed in advance with the Chief Inspector.Condition 2Only persons aged 18 years or older shall be accommodated at the designated centre at any time.Condition 3The maximum number of persons that may be accommodated at the designated centre is: 4.","Brian Walsh,  Agnes Reddy,  Kieron Kennedy,  Rosaleen O'Keeffe,  Brian Kiely,  Frank Tobin,  Ian Coulter",,https://www.hiqa.ie/areas-we-work/find-a-centre/park-avenue
7780,"Park Avenue,  Dundalk","Praxis Care","Aisling McManus",Louth,4,29-04-2023,"Condition 1 Subject to any prohibitions or restrictions contained in any other condition(s),  the designated centre shall be operated at all times in accordance with the Statement of Purpose within the footprint of the designated centre on the floor plan dated 11/11/2022. The registered provider shall only provide for the specific care and support needs,  and services,  within the facilities as set out the Statement of Purpose,  as agreed with the Chief Inspector at the time of registration. Any changes to the specific care and support needs and services provided must be agreed in advance with the Chief Inspector.Condition 2Only persons aged 18 years or older shall be accommodated at the designated centre at any time.Condition 3The maximum number of persons that may be accommodated at the designated centre is: 4.","Jacinta Walsh,  Mary McColgan,  Patrick Ambrose McLoughlin,  Jason Rance,  Alyson Dunn,  Mike Dawson,  John Melvin,  Kenneth Brundle,  John McGregor,  Tim Hopkins,  Oswyn Paulin,  Noreen Roche",,https://www.hiqa.ie/areas-we-work/find-a-centre/park-avenue-dundalk
5828,"Park View","Saint Patrick's Centre (Kilkenny)/trading as Aurora-Enriching Lives,  Enriching Communities","Jennifer Brennan",Kilkenny,4,02-01-2023,"Condition 1 Subject to any prohibitions or restrictions contained in any other condition(s),  the designated centre shall be operated at all times in accordance with the Statement of Purpose within the footprint of the designated centre on the floor plan dated 16/06/2022. The registered provider shall only provide for the specific care and support needs,  and services,  within the facilities as set out the Statement of Purpose,  as agreed with the Chief Inspector at the time of registration. Any changes to the specific care and support needs and services provided must be agreed in advance with the Chief Inspector.Condition 2Only persons aged 18 years or older shall be accommodated at the designated centre at any time.Condition 3The maximum number of persons that may be accommodated at the designated centre is: 4","Gerri (Geraldine) Wilson,  Rory O'Mahony,  Leslie Moynan,  Alex Clark,  Heidi Good,  John O'Dwyer,  Michael Hogan,  Kieron Kennedy,  Bill (William) Murphy,  Marian McDonald",,https://www.hiqa.ie/areas-we-work/find-a-centre/park-view
